placement,order,traffic,traffic_kind,row_hit_rate,row_miss_rate,bank_conflict_rate,ch_balance_std,subch_balance_std,rank_balance_std,bg_balance_std,bank_balance_std,avg_parallelism,window
ord2_direct,col-rank-bank-bg-row,random,random,0.0,1.0,0.03385,0.0,0.0,0.0093,0.01580759311217239,0.039971990193133994,20.4453,32
ord2_direct,col-rank-bank-bg-row,locality,locality,0.0061,0.9939,0.02975,0.0,0.0,0.0081,0.023059921942625912,0.041592306980979064,20.27125,32
ord2_xor_rank,col-rank-bank-bg-row,linear,linear,0.9687,0.0313,0.0,0.0,0.0,0.0,0.022374986033515194,0.024851559307214506,1.9683,32
ord2_xor_rank,col-rank-bank-bg-row,strided,strided,0.87495,0.12505,0.0,0.0,0.0,0.0,0.002835489375751565,0.0039395431207184415,4.8722,32
ord2_xor_rank,col-rank-bank-bg-row,random,random,0.0,1.0,0.03385,0.0,0.0,0.0048,0.01580759311217239,0.039971990193133994,20.4453,32
ord2_xor_rank,col-rank-bank-bg-row,locality,locality,0.0061,0.9939,0.02975,0.0,0.0,0.003,0.023059921942625912,0.041592306980979064,20.27125,32
ord2_xor_bank,col-rank-bank-bg-row,linear,linear,0.9687,0.0313,0.0,0.0,0.0,0.0,0.022374986033515194,0.024851559307214506,1.9683,32
ord2_xor_bank,col-rank-bank-bg-row,strided,strided,0.87495,0.12505,0.0,0.0,0.0,0.0,0.002835489375751565,0.0039395431207184415,4.8722,32
ord2_xor_bank,col-rank-bank-bg-row,random,random,0.0,1.0,0.03305,0.0,0.0,0.0093,0.01580759311217239,0.03839166576224584,20.45305,32
ord2_xor_bank,col-rank-bank-bg-row,locality,locality,0.00615,0.99385,0.02935,0.0,0.0,0.0081,0.023059921942625912,0.044085371723509376,20.34705,32
ord2_xor_bg,col-rank-bank-bg-row,linear,linear,0.9687,0.0313,0.0,0.0,0.0,0.0,0.022374986033515194,0.024851559307214506,1.9683,32
ord2_xor_bg,col-rank-bank-bg-row,strided,strided,0.87495,0.12505,0.0,0.0,0.0,0.0,0.002835489375751565,0.0039395431207184415,4.8722,32
ord2_xor_bg,col-rank-bank-bg-row,random,random,0.0,1.0,0.031,0.0,0.0,0.0093,0.015368799562750501,0.0325355190522604,20.384,32
ord2_xor_bg,col-rank-bank-bg-row,locality,locality,0.0061,0.9939,0.02995,0.0,0.0,0.0081,0.017378147196982767,0.03695402549114237,20.34935,32
ord3_direct,col-rank-bank-row-bg,linear,linear,0.9687,0.0313,0.0,0.0,0.0,0.0,2.6457513110645903,2.645756269953829,1.9683,32
ord3_direct,col-rank-bank-row-bg,strided,strided,0.87495,0.12505,0.0,0.0,0.0,0.0,2.6457513110645903,2.6457513110645903,3.99835,32
ord3_direct,col-rank-bank-row-bg,random,random,0.0,1.0,0.0312,0.0,0.0,0.0093,0.027240411156955763,0.04696722261322251,20.38015,32
ord3_direct,col-rank-bank-row-bg,locality,locality,0.00215,0.99785,0.2276,0.0,0.0,0.0081,0.08174325660260912,0.09174922342995606,10.1421,32
ord3_xor_rank,col-rank-bank-row-bg,linear,linear,0.9687,0.0313,0.0,0.0,0.0,0.0,2.6457513110645903,2.645756269953829,1.9683,32
ord3_xor_rank,col-rank-bank-row-bg,strided,strided,0.87495,0.12505,0.0,0.0,0.0,0.0,2.6457513110645903,2.6457513110645903,3.99835,32
ord3_xor_rank,col-rank-bank-row-bg,random,random,0.0,1.0,0.0312,0.0,0.0,0.0055,0.027240411156955763,0.04696722261322251,20.38015,32
ord3_xor_rank,col-rank-bank-row-bg,locality,locality,0.00215,0.99785,0.2276,0.0,0.0,0.0001,0.08174325660260912,0.09174922342995606,10.1421,32
ord3_xor_bank,col-rank-bank-row-bg,linear,linear,0.9687,0.0313,0.0,0.0,0.0,0.0,2.6457513110645903,2.645756269953829,1.9683,32
ord3_xor_bank,col-rank-bank-row-bg,strided,strided,0.87495,0.12505,0.0,0.0,0.0,0.0,2.6457513110645903,2.6457513110645903,3.99835,32
ord3_xor_bank,col-rank-bank-row-bg,random,random,0.0,1.0,0.02885,0.0,0.0,0.0093,0.027240411156955763,0.04210083134571097,20.4387,32
ord3_xor_bank,col-rank-bank-row-bg,locality,locality,0.00215,0.99785,0.22785,0.0,0.0,0.0081,0.08174325660260912,0.08735032913504104,10.13785,32
ord3_xor_bg,col-rank-bank-row-bg,linear,linear,0.9687,0.0313,0.0,0.0,0.0,0.0,2.6457513110645903,2.645756269953829,1.9683,32
ord3_xor_bg,col-rank-bank-row-bg,strided,strided,0.87495,0.12505,0.0,0.0,0.0,0.0,2.6457513110645903,2.6457513110645903,3.99835,32
