placement,row_hit_rate,row_miss_rate,bank_conflict_rate,ch_balance_std,subch_balance_std,rank_balance_std,bg_balance_std,bank_balance_std,avg_parallelism,composite_score
ord19_xor_bg,0.422025,0.577975,0.3036,0.0,0.0,0.518975,1.3515741532473386,2.843037818856035,6.601674999999999,-1.0484884860516868
ord22_xor_bank,0.4220125,0.5779875,0.307625,0.0,0.0,0.50205,1.3501215724721864,2.8320756529688236,6.578762500000001,-1.0506348627205049
ord23_xor_bank,0.4220125,0.5779875,0.3075875,0.0,0.0,0.5108,1.3498509473817126,2.834796735389242,6.584,-1.0512800913854772
ord21_xor_bank,0.422025,0.577975,0.30703749999999996,0.0,0.0,0.5108,1.3505051454357138,2.8393906644836187,6.597849999999999,-1.0516691549596662
ord19_xor_bank,0.4220125,0.5779875,0.30720000000000003,0.0,0.0,0.518975,1.3501215724721864,2.8431424564193994,6.5796375,-1.0554432644457932
ord20_xor_bank,0.4220125,0.5779875,0.30738750000000004,0.0,0.0,0.50815,1.3505051454357138,2.841413488844424,6.575425,-1.0554730671400687
ord23_xor_rank,0.4220125,0.5779875,0.3109875,0.0,0.0,0.503325,1.3498509473817126,2.8402636172518445,6.570475,-1.0604660323167785
ord23_direct,0.4220125,0.5779875,0.3109875,0.0,0.0,0.5108,1.3498509473817126,2.8402636172518445,6.570475,-1.0604660323167785
ord21_direct,0.4220125,0.5779875,0.3109875,0.0,0.0,0.5108,1.3505051454357138,2.8402636172518445,6.570475,-1.060793131343779
ord21_xor_rank,0.4220125,0.5779875,0.3109875,0.0,0.0,0.503325,1.3505051454357138,2.8402636172518445,6.570475,-1.060793131343779
ord22_direct,0.4220125,0.5779875,0.31005,0.0,0.0,0.50205,1.3501215724721864,2.8471031468653285,6.5781875,-1.0618436096687573
ord22_xor_rank,0.4220125,0.5779875,0.31005,0.0,0.0,0.501475,1.3501215724721864,2.8471031468653285,6.5781875,-1.0618436096687573
ord18_xor_rank,0.422,0.578,0.31135,0.0,0.0,0.50945,1.3471763864756279,2.8412104016010202,6.549275,-1.0622908940383242
ord18_direct,0.422,0.578,0.31135,0.0,0.0,0.518975,1.3471763864756279,2.8412104016010202,6.549275,-1.0622908940383242
ord19_xor_rank,0.422,0.578,0.31135,0.0,0.0,0.50945,1.3501215724721864,2.8412104016010202,6.549275,-1.0637634870366033
ord19_direct,0.422,0.578,0.31135,0.0,0.0,0.518975,1.3501215724721864,2.8412104016010202,6.549275,-1.0637634870366033
ord20_xor_rank,0.4220125,0.5779875,0.31095,0.0,0.0,0.506475,1.3505051454357138,2.8451224283117904,6.5588375,-1.0643300368737518
ord20_direct,0.4220125,0.5779875,0.31095,0.0,0.0,0.50815,1.3505051454357138,2.8451224283117904,6.5588375,-1.0643300368737518
